,hate_speech,clean_tweet
21047,0,Some of yall gorgeous women ai not so gorgeous when we realize you got a ugly bitch attitude
22250,0,Totaled RT CSharpCENT Crashed dat hoe RT viaNAWF Drake verse on that nicki gtgtgtgtgt
9160,0,For some reason I always assume guys who act like that in trucks have tiny dicks HAHA fag
23832,0,fuck ah bitch all I think about Is commas
13072,0,My mf dawggg  I miss this hoe man httptcoNokkwiKRL
3796,0,KenSuttling That twat Barry HearneIt would seem to be all about there was no option for teams to share the venue
20156,0,RT thecoreyholcomb When gay girls suck pussy from a bitch who just took a plan B pill the other day that means the munching hoe ate plans
6620,0,madikat prolly not They sound like little bitches
9083,0,Females talk down on niccas when I can point out a few females who be on that tip
23782,0,"dope in the bag pretty bitch on the side
I sell dope in the backif you tryna get high ty"
8336,0,Ca not be many things worse than having COPS interrupted because a friggin Yankee game is still going on
17244,0,RT SexualGif If your girlfriend does not like that bitch then do not talk to that bitch
18754,0,RT chicagotribune Chicago will not refund  million made from red light tickets issued after yellow lights were shortened httptco
9029,0,Experience Charlie Married woman who loves hot phone sex with strangers Can you get me off   httptcobpDqqPoGAe
6551,1,laurenkapitan ManiacMind No the fuck u can not dumb bitch matter of fact go get nigga hoe cuz u not going be shit
20268,0,RT urinnerdevil ur typical twitter hoe httptcoYJELUnWVp
12978,1,My bitch cold not average you could not fuck my last bitch
558,0,Takin it straight to dirt why finger the pussy when I know I can put my dick in it xErnee
9162,0,For those wondering why DHS was buying up all the ammo now you know Once the Charlie Manson er BarackObama race war starts its on POTUS
10673,0,"I like my bitches simple 
laid back relaxed your mental httptcoxyNGDzLDRb"
7016,0,shanetallant he will not bite We promise he is a friendly bird 
18782,0,RT colinweis Step up into the gauntlet bitch nuts I could use something to wipe my ass with
8918,0,Early bird gets the worm GoGetIt
16061,0,RT Kittykinsx Tacos over hoes
21593,0,The only exception with the baby momma is she not stuck on you and ghetto bitch that I will stomp her ass like an African ritual
1507,0,SMITHAAAAAA TatsNSnapbacks Last night was well Fun lmao you got some pussy did not ya Vern unfortunately no lol
15544,0,RT Humxnerror we can not be cool if you gonna be a little bitch all the time
23803,1,every time this bitch makes a status about guys she texts me like whatttt loll
20996,0,So you do not want to see the true life story of American heroes Bizzy Lazy Krayzie amp Wish you wanna watch hillbillies shoot pumpkins
21575,0,The last atbat at Yankee Stadium Thanks for making it a good one Captain FarewellCaptain httptcoUVJgbCpcbU
5217,0,YeridZee bitches better watch out because we are running the tables tonight 
7961,1,Be my backbone every nicca need a spine
21887,0,They thought I would not make it pussy nigga we made it
8441,0,Charlie not fukin around in Austin Every week somebody getting kicked off the team
5219,0,YessMeSHAY I want my poms back lmfao
9801,0,Hey bitchAdam showed upbring more beer
11784,0,Ima tear that pussy UUUUP
7518,0,Ai not even fuckin wit shady bitches
20981,1,So sick of you fake ass hoes
7981,0,Been schooling these bitches since 
8915,0,Early bird gets the worm right Hopefully I get a job soon after today httptcolvgfVBqkdz
9023,0,Ewww bitch canunot fuckoff
9996,0,I aint mad at you bitches thats what hoes do
7107,0,sweetlou thanks Hun lt I am so crushed I love working out It will be months gone by the time I go back 
13988,1,RT thAmendment Jihadi Killed BrendanTevlin In NJ W At Least  OthersPart Of Terrorist Ring  Yrs Ago httptcoqZtXJvxJ http
21140,0,"Started wit Hanna Montana hoes
 Now im fuckin all of Nick Cannon hoes"
6813,1,panchoftf I am trying to catch diabetes so I am fuckin a white bitch
17775,0,RT ThugginLegally Twitter jail is pointless your suppose to tweet  they need instagram jail for hoes doing Shout out for shout out all 
18339,0,RT SadisticBitch I will never understand how people can fake an entire relationship I can not even fake a hello to a bitch that I fucking
22503,0,Wayne went ape shit on tht Krazy
15444,0,RT Harryslaststand On this ArmisticeDay the cry Never Again is absent and mocks our pledge to NeverForget the fallen from ancient an
24535,0,there is  people in my house and they are all yelling pls god give me the strength not to beat a bitch
3552,0,JHannahhh oh you mean Noah zimmerman is cute ass  I mean he should he talks to his hoes all day everyday  amp his girl Courtney  sooo
20950,0,So glad I found a good girl and do not have to deal with these wild ass hoes they have nowadays Ratchets
10794,0,I need to jump in the shop on fritag for  beers hate looking like  odd I need to get  fags tae going to look like a junkie
17795,0,RT ToddKincannon Cry liberal bitches Cry like you did when daddy left MT Slate Republicans are abt to take control of state legisl
3782,0,KeiveeB shut up bitch it ainn complete witout Money Melle n it
19417,0,RT kekelovingmytwo stBlocJeremiah Good pussy change ya life 
23792,0,emers a bitch
2792,0,CayMarieee bitch I am not coming no more you said your making plans 
19098,0,"RT hittsblunt hits blunt

If a guy talk to  girls is he a hoe or does he have hoes httptcoypwOrQwLd"
2637,0,BloodOfJupiter yeahbitch
20334,1,RT wojtata NoneShallPass fuck you up fucking skank ass cunt
21808,0,These hoes pickin and choosin that is why these niggas stickin and movin
18088,0,RT WorIdStarFunnyy When you and your boys discover a hoe httptcoMkonVchGR
10030,1,I am the real vampire nigger
11759,0,Im the biggest pussy when it comes to scary stuff
6380,0,kellyryaaaan only dumb bitches r in th
12859,0,Miss ma niggah leo
3566,0,JRise ill fuck you til you love me faggot
15623,0,RT ImNeverChillin Bitches hate kim k amp bring up she sucked dick too get famous  Yall bitches suck dick amp barley get a text back soooooo 
8661,0,Dave Chappelle turned into a BEAST he WISHES someone would tell him I am Rick James bitch so he can whoop that ass httptcoeISMekXks
22138,0,This shit is a game right now That is why I play hoes
22862,0,Why do I play these scary PC games Cuz im not a pussy and i like being scared shitless
12652,0,Lookin at my bitch i bet she give yo ass a bone
9811,0,"Hey 

Aside

This was my graduation cap Like fuck you bitch Detroit What httptcofvNpEukn"
19892,1,RT rarebreedkena shoutout to OGMaco bitch you guessed it remix shit is 
24101,0,it is  bitches need to be ready for the D fellaz Do not play they games Let that high school tease shit last a day swag
